Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Cauthen Forbes & Williams,Oracle,FIRST QUARTER REPORT,60000.00,04/17/2012,2012
Cauthen Forbes & Williams,Oracle,FIRST QUARTER (NO ACTIVITY),60000.00,04/23/2013,2013
Cauthen Forbes & Williams,Oracle,SECOND QUARTER REPORT,60000.00,07/20/2012,2012
Cauthen Forbes & Williams,Oracle,SECOND QUARTER TERMINATION (NO ACTIVITY),60000.00,07/22/2013,2013
Cauthen Forbes & Williams,Oracle,THIRD QUARTER (NO ACTIVITY),60000.00,10/22/2012,2012
"CG Consulting Group, Inc.",Oracle Corporation,FOURTH QUARTER REPORT,10000.00,01/20/2010,2009
"CG Consulting Group, Inc.",Oracle Corporation,FOURTH QUARTER REPORT,10000.00,01/20/2011,2010
"CG Consulting Group, Inc.",Oracle Corporation,FIRST QUARTER TERMINATION,10000.00,03/14/2011,2011
"CG Consulting Group, Inc.",Oracle Corporation,FIRST QUARTER REPORT,10000.00,04/20/2010,2010
"CG Consulting Group, Inc.",Oracle Corporation,REGISTRATION,,05/11/2009,2009
"CG Consulting Group, Inc.",Oracle Corporation,FIRST QUARTER REPORT,10000.00,05/14/2009,2009
"CG Consulting Group, Inc.",Oracle Corporation,SECOND QUARTER REPORT,10000.00,07/20/2009,2009
"CG Consulting Group, Inc.",Oracle Corporation,SECOND QUARTER REPORT,10000.00,07/20/2010,2010
"CG Consulting Group, Inc.",Oracle Corporation,THIRD QUARTER REPORT,10000.00,10/20/2009,2009
"CG Consulting Group, Inc.",Oracle Corporation,THIRD QUARTER REPORT,10000.00,10/20/2010,2010
Chesapeake Enterprises,Oracle,FOURTH QUARTER REPORT,25000.00,01/16/2009,2008
Chesapeake Enterprises,Oracle,FOURTH QUARTER TERMINATION,37500.00,01/20/2011,2010
Chesapeake Enterprises,Oracle,FOURTH QUARTER REPORT,37500.00,01/21/2010,2009
Chesapeake Enterprises,Oracle,YEAR-END REPORT,40000.00,02/14/2008,2007
Chesapeake Enterprises,Oracle,REGISTRATION,,03/22/2007,2007
Chesapeake Enterprises,Oracle,SECOND QUARTER REPORT,25000.00,03/25/2009,2008
Chesapeake Enterprises,Oracle,FIRST QUARTER REPORT,,04/20/2010,2010
Chesapeake Enterprises,Oracle,FIRST QUARTER REPORT,37500.00,04/21/2009,2009
Chesapeake Enterprises,Oracle,FIRST QUARTER REPORT,20000.00,04/22/2008,2008
Chesapeake Enterprises,Oracle,SECOND QUARTER REPORT,37500.00,07/17/2009,2009
Chesapeake Enterprises,Oracle,SECOND QUARTER REPORT,,07/19/2010,2010
Chesapeake Enterprises,Oracle,MID-YEAR REPORT,60000.00,08/27/2007,2007
Chesapeake Enterprises,Oracle,THIRD QUARTER REPORT,37500.00,10/14/2010,2010
Chesapeake Enterprises,Oracle,THIRD QUARTER REPORT,25000.00,10/16/2008,2008
Chesapeake Enterprises,Oracle,THIRD QUARTER REPORT,37500.00,10/16/2009,2009
Chesapeake Enterprises,Oracle,THIRD QUARTER AMENDMENT,25000.00,10/17/2008,2008
Chesapeake Enterprises,Oracle,SECOND QUARTER AMENDMENT,25000.00,10/20/2009,2008
"Corley Consulting, LLC",Oracle Corporation,FOURTH QUARTER TERMINATION,10000.00,02/18/2015,2014
"Corley Consulting, LLC",Oracle Corporation,REGISTRATION,,05/09/2014,2014
"Corley Consulting, LLC",Oracle Corporation,SECOND QUARTER REPORT,30000.00,08/06/2014,2014
"Corley Consulting, LLC",Oracle Corporation,THIRD QUARTER REPORT,30000.00,11/01/2014,2014
Cove Strategies,Oracle American Inc.,FOURTH QUARTER REPORT,50000.00,01/22/2018,2017
Cove Strategies,Oracle American Inc.,FOURTH QUARTER REPORT,50000.00,01/22/2019,2018
Cove Strategies,Oracle American Inc.,REGISTRATION,,03/07/2017,2017
Cove Strategies,Oracle American Inc.,FIRST QUARTER REPORT,50000.00,04/20/2017,2017
Cove Strategies,Oracle American Inc.,FIRST QUARTER REPORT,50000.00,04/20/2018,2018
Cove Strategies,Oracle American Inc.,FIRST QUARTER REPORT,50000.00,04/22/2019,2019
Cove Strategies,Oracle American Inc.,SECOND QUARTER REPORT,50000.00,07/20/2017,2017
Cove Strategies,Oracle American Inc.,SECOND QUARTER REPORT,50000.00,07/20/2018,2018
Cove Strategies,Oracle American Inc.,THIRD QUARTER REPORT,50000.00,10/20/2017,2017
Cove Strategies,Oracle American Inc.,THIRD QUARTER REPORT,50000.00,10/22/2018,2018
"Crowell & Moring International, LLC",ORACLE COPORATION,FOURTH QUARTER REPORT,,01/08/2010,2009
"Crowell & Moring International, LLC",ORACLE COPORATION,FOURTH QUARTER (NO ACTIVITY),,01/12/2011,2010
"Crowell & Moring International, LLC",ORACLE COPORATION,FOURTH QUARTER REPORT,,01/14/2009,2008
"Crowell & Moring International, LLC",ORACLE COPORATION,YEAR-END (NO ACTIVITY),,01/31/2008,2007
"Crowell & Moring International, LLC",ORACLE COPORATION,YEAR-END REPORT,,02/11/2000,1999
"Crowell & Moring International, LLC",ORACLE COPORATION,YEAR-END REPORT,,02/14/2001,2000
"Crowell & Moring International, LLC",ORACLE COPORATION,REGISTRATION,,02/15/2007,2007
"Crowell & Moring International, LLC",ORACLE COPORATION,YEAR-END TERMINATION (NO ACTIVITY),,03/13/2002,2001
"Crowell & Moring International, LLC",ORACLE COPORATION,MID-YEAR AMENDMENT (NO ACTIVITY),,03/19/2002,2001
"Crowell & Moring International, LLC",ORACLE COPORATION,FIRST QUARTER REPORT,,04/09/2010,2010
"Crowell & Moring International, LLC",ORACLE COPORATION,FIRST QUARTER (NO ACTIVITY),,04/11/2011,2011
"Crowell & Moring International, LLC",ORACLE COPORATION,FIRST QUARTER REPORT,,04/14/2009,2009
"Crowell & Moring International, LLC",ORACLE COPORATION,FIRST QUARTER (NO ACTIVITY),,04/18/2008,2008
"Crowell & Moring International, LLC",ORACLE COPORATION,YEAR-END AMENDMENT (NO ACTIVITY),,05/21/2008,2007
"Crowell & Moring International, LLC",ORACLE COPORATION,SECOND QUARTER REPORT,,07/09/2008,2008
"Crowell & Moring International, LLC",ORACLE COPORATION,SECOND QUARTER REPORT,10000.00,07/10/2009,2009
"Crowell & Moring International, LLC",ORACLE COPORATION,SECOND QUARTER (NO ACTIVITY),,07/15/2010,2010
"Crowell & Moring International, LLC",ORACLE COPORATION,SECOND QUARTER TERMINATION (NO ACTIVITY),,07/19/2011,2011
"Crowell & Moring International, LLC",ORACLE COPORATION,REGISTRATION AMENDMENT,,08/02/2007,2007
"Crowell & Moring International, LLC",ORACLE COPORATION,MID-YEAR REPORT,,08/07/2007,2007
"Crowell & Moring International, LLC",ORACLE COPORATION,MID-YEAR REPORT,,08/13/1999,1999
"Crowell & Moring International, LLC",ORACLE COPORATION,MID-YEAR REPORT,,08/14/2000,2000
"Crowell & Moring International, LLC",ORACLE COPORATION,MID-YEAR REPORT,,08/15/2001,2001
"Crowell & Moring International, LLC",ORACLE COPORATION,MID-YEAR TERMINATION,,08/21/2002,2002
"Crowell & Moring International, LLC",ORACLE COPORATION,THIRD QUARTER REPORT,,10/09/2009,2009
"Crowell & Moring International, LLC",ORACLE COPORATION,THIRD QUARTER REPORT,,10/13/2010,2010
"Crowell & Moring International, LLC",ORACLE COPORATION,THIRD QUARTER REPORT,10000.00,10/20/2008,2008
Dickstein Shapiro LLP,Oracle Corporation,FOURTH QUARTER REPORT,60000.00,01/15/2009,2008
Dickstein Shapiro LLP,Oracle Corporation,FOURTH QUARTER REPORT,,01/20/2010,2009
Dickstein Shapiro LLP,Oracle Corporation,FOURTH QUARTER TERMINATION,50000.00,01/20/2011,2010
Dickstein Shapiro LLP,Oracle Corporation,REGISTRATION AMENDMENT,,02/13/2007,2005
Dickstein Shapiro LLP,Oracle Corporation,YEAR-END REPORT,,02/13/2007,2006
Dickstein Shapiro LLP,Oracle Corporation,YEAR-END REPORT,10000.00,02/13/2008,2007
Dickstein Shapiro LLP,Oracle Corporation,YEAR-END REPORT,,02/14/2006,2005
Dickstein Shapiro LLP,Oracle Corporation,MID-YEAR (NO ACTIVITY),,03/28/2006,2005
Dickstein Shapiro LLP,Oracle Corporation,FIRST QUARTER REPORT,50000.00,04/20/2009,2009
Dickstein Shapiro LLP,Oracle Corporation,FIRST QUARTER REPORT,30000.00,04/20/2010,2010
Dickstein Shapiro LLP,Oracle Corporation,FIRST QUARTER REPORT,40000.00,04/21/2008,2008
Dickstein Shapiro LLP,Oracle Corporation,SECOND QUARTER REPORT,50000.00,07/20/2009,2009
Dickstein Shapiro LLP,Oracle Corporation,SECOND QUARTER REPORT,60000.00,07/20/2010,2010
Dickstein Shapiro LLP,Oracle Corporation,SECOND QUARTER REPORT,40000.00,07/21/2008,2008
Dickstein Shapiro LLP,Oracle Corporation,MID-YEAR (NO ACTIVITY),,08/07/2006,2006
Dickstein Shapiro LLP,Oracle Corporation,MID-YEAR REPORT,20000.00,08/13/2007,2007
Dickstein Shapiro LLP,Oracle Corporation,REGISTRATION,,09/21/2004,2004
Dickstein Shapiro LLP,Oracle Corporation,THIRD QUARTER REPORT,50000.00,10/20/2008,2008
Dickstein Shapiro LLP,Oracle Corporation,THIRD QUARTER REPORT,60000.00,10/20/2009,2009
Dickstein Shapiro LLP,Oracle Corporation,THIRD QUARTER REPORT,40000.00,10/20/2010,2010
DLA Piper LLP (US),ORACLE CORPORATION,FOURTH QUARTER REPORT,90000.00,01/20/2016,2015
DLA Piper LLP (US),ORACLE CORPORATION,FOURTH QUARTER (NO ACTIVITY),,01/23/2017,2016
DLA Piper LLP (US),ORACLE CORPORATION,REGISTRATION,,02/13/2003,2002
DLA Piper LLP (US),ORACLE CORPORATION,YEAR-END (NO ACTIVITY),,02/13/2003,2002
DLA Piper LLP (US),ORACLE CORPORATION,REGISTRATION AMENDMENT,,04/15/2015,2015
DLA Piper LLP (US),ORACLE CORPORATION,FIRST QUARTER REPORT,110000.00,04/17/2015,2015
DLA Piper LLP (US),ORACLE CORPORATION,FIRST QUARTER REPORT,20000.00,04/20/2016,2016
DLA Piper LLP (US),ORACLE CORPORATION,FIRST QUARTER (NO ACTIVITY),,04/20/2017,2017
DLA Piper LLP (US),ORACLE CORPORATION,SECOND QUARTER REPORT,160000.00,07/20/2015,2015
DLA Piper LLP (US),ORACLE CORPORATION,SECOND QUARTER REPORT,30000.00,07/20/2016,2016
DLA Piper LLP (US),ORACLE CORPORATION,SECOND QUARTER TERMINATION (NO ACTIVITY),,07/20/2017,2017
DLA Piper LLP (US),ORACLE CORPORATION,MID-YEAR TERMINATION (NO ACTIVITY),,08/13/2003,2003
DLA Piper LLP (US),ORACLE CORPORATION,THIRD QUARTER REPORT,130000.00,10/20/2015,2015
DLA Piper LLP (US),ORACLE CORPORATION,THIRD QUARTER (NO ACTIVITY),,10/20/2016,2016
DLA Piper LLP (US),ORACLE CORPORATION,THIRD QUARTER AMENDMENT (NO ACTIVITY),,11/21/2016,2016
Fierce Government Relations,Oracle Corporation,REGISTRATION,,01/20/2015,2015
